order_id,customer_id,product_id,order_date,amount,name,email,join_date,product_name,category,price
10069,46,1010,2024-12-26,282.62,Ashlee,julie78@gmail.com,2020-12-30,Think,Clothing,268.93
10018,7,1010,2024-08-13,268.21,John,imarshall@hotmail.com,2021-07-28,Think,Clothing,268.93
10005,38,1040,2022-09-13,274.94,Stephanie,qclark@wilson-harrington.com,2022-06-10,Ever,Electronics,119.53
10100,20,1040,2025-05-24,106.49,Michele,kara88@hotmail.com,2020-11-14,Ever,Electronics,119.53
10032,35,1040,2023-01-13,427.77,Brian,thorntonryan@lewis-leon.info,2023-05-20,Ever,Electronics,119.53
10020,38,1030,2023-02-10,128.03,Stephanie,qclark@wilson-harrington.com,2022-06-10,Though,Electronics,225.24
10097,38,1036,2025-03-13,361.15,Stephanie,qclark@wilson-harrington.com,2022-06-10,Black,Electronics,936.92
10023,10,1036,2023-09-13,294.46,Jose,justinmoore@yahoo.com,2024-09-11,Black,Electronics,936.92
10017,46,1036,2022-10-19,374.94,Ashlee,julie78@gmail.com,2020-12-30,Black,Electronics,936.92
10016,2,1036,2023-11-12,293.03,Amanda,gtrevino@meyer.com,2025-05-12,Black,Electronics,936.92
10088,25,1036,2024-08-15,131.37,Elizabeth,cindy08@yahoo.com,2021-06-02,Black,Electronics,936.92
10076,23,1036,2025-06-08,493.13,Gina,greercarol@hotmail.com,2023-12-11,Black,Electronics,936.92
10006,12,1027,2024-06-13,494.87,Laura,kimberly04@anthony.com,2022-08-22,Main,Stationery,920.95
10079,45,1027,2022-08-01,211.53,Carmen,heatherlozano@yahoo.com,2022-03-27,Main,Stationery,920.95
10014,40,1027,2024-02-19,470.98,Maria,andrew66@hotmail.com,2022-05-19,Main,Stationery,920.95
10019,30,1027,2024-04-22,316.66,Kelly,valerie91@hotmail.com,2020-07-22,Main,Stationery,920.95
10047,12,1049,2022-11-10,246.51,Laura,kimberly04@anthony.com,2022-08-22,Beyond,Stationery,518.78
10055,17,1049,2024-04-24,425.82,Teresa,mmiller@hotmail.com,2020-12-17,Beyond,Stationery,518.78
10056,35,1049,2025-03-08,473.37,Brian,thorntonryan@lewis-leon.info,2023-05-20,Beyond,Stationery,518.78
10007,10,1025,2025-03-22,382.33,Jose,justinmoore@yahoo.com,2024-09-11,Believe,Stationery,42.42
10072,23,1025,2024-12-07,128.4,Gina,greercarol@hotmail.com,2023-12-11,Believe,Stationery,42.42
10021,10,1046,2024-03-05,251.45,Jose,justinmoore@yahoo.com,2024-09-11,Yard,Stationery,784.37
10027,17,1046,2024-04-29,212.61,Teresa,mmiller@hotmail.com,2020-12-17,Yard,Stationery,784.37
10044,17,1046,2023-04-10,298.65,Teresa,mmiller@hotmail.com,2020-12-17,Yard,Stationery,784.37
10083,11,1046,2024-03-19,421.79,Joseph,dylan95@gmail.com,2022-03-20,Yard,Stationery,784.37
10009,45,1002,2023-01-29,389.81,Carmen,heatherlozano@yahoo.com,2022-03-27,Chance,Clothing,767.39
10010,15,1004,2023-02-18,406.27,Brandy,johnsonstephanie@hotmail.com,2021-03-16,Discuss,Electronics,441.4
10091,46,1004,2024-01-29,135.44,Ashlee,julie78@gmail.com,2020-12-30,Discuss,Electronics,441.4
10089,41,1004,2022-09-08,430.04,Jamie,vsimmons@yahoo.com,2020-09-17,Discuss,Electronics,441.4
10062,29,1004,2024-10-21,242.06,Andrea,tfoster@gonzalez.biz,2023-06-25,Discuss,Electronics,441.4
10011,16,1032,2024-05-28,403.13,Corey,kevinmaddox@barrett.biz,2023-09-12,Resource,Furniture,31.49
10043,25,1032,2024-08-23,402.02,Elizabeth,cindy08@yahoo.com,2021-06-02,Resource,Furniture,31.49
10041,5,1032,2023-06-16,309.33,Andrew,tflores@smith-martin.com,2022-08-08,Resource,Furniture,31.49
10034,46,1043,2025-07-04,335.68,Ashlee,julie78@gmail.com,2020-12-30,Hot,Clothing,190.72
10086,36,1043,2024-11-15,168.45,Mariah,moorejustin@hotmail.com,2025-03-21,Hot,Clothing,190.72
10098,40,1018,2024-12-09,383.37,Maria,andrew66@hotmail.com,2022-05-19,Central,Stationery,923.57
10033,20,1018,2023-07-06,396.27,Michele,kara88@hotmail.com,2020-11-14,Central,Stationery,923.57
10029,2,1018,2023-12-18,421.57,Amanda,gtrevino@meyer.com,2025-05-12,Central,Stationery,923.57
10031,34,1018,2025-05-09,386.89,Mary,jacksonnancy@martinez.com,2022-03-12,Central,Stationery,923.57
10077,18,1018,2023-03-19,306.06,Travis,mjordan@snow.biz,2021-04-18,Central,Stationery,923.57
10015,20,1009,2025-02-07,408.72,Michele,kara88@hotmail.com,2020-11-14,Thing,Stationery,656.09
10051,20,1013,2023-07-05,250.77,Michele,kara88@hotmail.com,2020-11-14,Heart,Clothing,938.11
10024,25,1024,2022-07-18,371.29,Elizabeth,cindy08@yahoo.com,2021-06-02,Evidence,Stationery,844.67
10046,23,1024,2024-07-10,287.73,Gina,greercarol@hotmail.com,2023-12-11,Evidence,Stationery,844.67
10026,26,1045,2025-06-23,361.82,Kelly,millerkaitlyn@mann.com,2022-01-30,Would,Electronics,465.32
10092,23,1045,2024-01-27,498.36,Gina,greercarol@hotmail.com,2023-12-11,Would,Electronics,465.32
10028,9,1022,2023-09-06,378.82,Jordan,paul24@shelton.biz,2021-12-08,Matter,Electronics,743.5
10030,37,1042,2023-05-13,103.93,Gregory,brooke69@norman.com,2023-10-13,Science,Grocery,178.7
10040,37,1007,2022-11-06,434.21,Gregory,brooke69@norman.com,2023-10-13,May,Clothing,188.76
10063,37,1023,2025-03-30,437.95,Gregory,brooke69@norman.com,2023-10-13,Accept,Electronics,681.77
10054,35,1021,2024-12-26,410.13,Brian,thorntonryan@lewis-leon.info,2023-05-20,May,Furniture,338.15
10082,42,1021,2023-12-31,100.78,Megan,tammyaguilar@hotmail.com,2024-04-26,May,Furniture,338.15
10035,14,1029,2023-04-04,381.94,Amber,oharper@flores.com,2021-07-22,Stay,Grocery,434.13
10084,14,1029,2024-04-09,430.94,Amber,oharper@flores.com,2021-07-22,Stay,Grocery,434.13
10050,13,1029,2024-11-27,455.44,Francisco,clarkeerika@bass.info,2025-04-20,Stay,Grocery,434.13
10036,13,1026,2023-03-08,216.57,Francisco,clarkeerika@bass.info,2025-04-20,Show,Clothing,80.41
10039,32,1026,2023-06-12,408.08,Aaron,smithgregory@martin-cruz.biz,2023-12-10,Show,Clothing,80.41
10058,36,1026,2023-10-10,383.53,Mariah,moorejustin@hotmail.com,2025-03-21,Show,Clothing,80.41
10048,44,1012,2024-05-16,322.85,Michelle,wendy54@ramirez.com,2022-12-27,Available,Grocery,963.4
10078,32,1031,2023-01-14,172.69,Aaron,smithgregory@martin-cruz.biz,2023-12-10,Hospital,Stationery,517.33
10049,21,1001,2023-02-13,475.94,Stephanie,elara@walker.org,2022-02-18,Medical,Electronics,540.75
10052,41,1041,2025-03-27,482.55,Jamie,vsimmons@yahoo.com,2020-09-17,Loss,Clothing,285.96
10061,47,1005,2024-01-23,349.64,Tammy,aaron57@krueger-wise.com,2024-08-28,Can,Grocery,901.46
10080,47,1044,2024-07-23,105.83,Tammy,aaron57@krueger-wise.com,2024-08-28,Site,Electronics,492.83
10068,29,1020,2022-11-12,445.43,Andrea,tfoster@gonzalez.biz,2023-06-25,Sport,Electronics,174.77
10070,31,1019,2023-04-16,404.34,Anthony,carolduke@yahoo.com,2021-09-30,East,Furniture,376.41
10085,49,1039,2022-10-05,337.46,Edward,tarnold@hotmail.com,2021-11-21,Our,Clothing,432.09
10099,28,1008,2024-07-07,443.32,Nicole,ohodges@butler-murphy.com,2025-03-01,Require,Furniture,701.74
